claimed_penalty,contract_penalty_percentage,prepayment,contract_price,delay,debt_amount,penalty_reduction_ratio,appeal_courts,type_of_contract,judge_gender,year,undefined_contract_price
68246341,0.001,27089644.0,73632148.0,1209.0,51515008.0,0.9340623990376276,13 апелляция,Поставка,Судья - женщина,2022 год,False
1343806,0.002,,20285289.0,138.0,431713.0,0.5,13 апелляция,Подряд,Судья - мужчина,2022 год,False
1624644,0.01,,5802301.0,27.0,4416609.2,0.3844805385056664,13 апелляция,Поставка,Судья - женщина,2022 год,False
1518650,0.001,,18988693.0,163.0,3561550.2,0.3415204293286801,13 апелляция,Поставка,Судья - женщина,2022 год,False
3964216,0.005,,12197590.0,64.0,2197590.0,0.4456432242844487,13 апелляция,Поставка,Судья - женщина,2022 год,False
13834,0.003,,864140.0,236.0,21500.0,0.6666907618909932,13 апелляция,Поставка,Судья - женщина,2022 год,False
464125,0.002,,1823040.0,383.0,824868.0,0.7845408025855104,13 апелляция,Поставка,Судья - женщина,2022 год,False
5152527,0.01,,5152527.0,115.0,3837243.2,0.864144331509568,13 апелляция,Поставка,Судья - женщина,2022 год,False
171813,0.003,,1259960.8,78.0,1106897.0,0.4761746782839482,13 апелляция,Поставка,Судья - женщина,2022 год,True
4507771,0.001,,6547159.8,127.0,11902840.0,0.3344826079230732,13 апелляция,Поставка,Судья - женщина,2022 год,True
142078,0.003,,400281.0,306.0,370281.0,0.6648249553062402,13 апелляция,Поставка,Судья - женщина,2022 год,False
322500,0.005,500000.0,1785000.0,42.0,1500000.0,0.5348837209302326,13 апелляция,Поставка,Судья - женщина,2022 год,False
33273883,0.01,,22482353.0,147.0,22482353.0,0.3243243356959571,13 апелляция,Поставка,Судья - женщина,2022 год,False
125775,0.001,,2925004.0,42.0,1459154.6,0.4434506062413039,9 апелляция,Подряд,Судья - мужчина,2022 год,False
521798,0.0005,,69573153.0,15.0,69573153.0,0.1375973077704398,9 апелляция,Поставка,Судья - мужчина,2022 год,False
5625284,0.005,,2745166.8,48.0,1532369.8,0.4666935927146078,9 апелляция,Поставка,Судья - женщина,2022 год,True
131950,0.005,,130000.0,240.0,130000.0,0.621068586585828,3 апелляция,Аренда,Судья - женщина,2022 год,False
3059062,0.001,,2179961.4,643.0,1891749.8,0.0,3 апелляция,Подряд,Судья - женщина,2022 год,True
4126941,0.003,,3270259.6,17.0,2855602.0,0.655589454755956,3 апелляция,Услуги,Судья - женщина,2021 год,True
3800730,0.005,,22642332.0,101.0,5072186.2,0.0,7 апелляция,Поставка,Судья - мужчина,2022 год,False
15689053,0.001,,26388000.0,341.0,4155623.6,0.90432418068828,7 апелляция,Подряд,Судья - женщина,2022 год,False
93358,0.005,,228715.2,195.0,95264.0,0.909766704513807,18 апелляция,Услуги,Судья - женщина,2022 год,True
1728590,0.0005,,108005000.0,430.0,1532608.0,0.0,18 апелляция,Поставка,Судья - женщина,2022 год,False
5068,0.01,,752803.0,190.0,5999.0,0.6053670086819258,18 апелляция,Услуги,Судья - женщина,2022 год,True
26354,0.003,,1000.0,963.0,13645.0,0.4822417849282842,18 апелляция,Услуги,Судья - женщина,2022 год,False
1096624,0.001,,6995000.0,145.0,4385451.6,0.6699999270488335,18 апелляция,Подряд,Судья - мужчина,2022 год,False
